20250701 084700;22833.75;22837.75;22833.75;22835;50
20250701 084800;22834.5;22839.25;22832.5;22838;81
20250701 084900;22837.75;22838.5;22835;22838;74
20250701 085000;22837.75;22840.75;22836;22840;76
20250701 085100;22840.75;22845.5;22840.25;22842.75;87
20250701 085200;22843.25;22847.75;22842.25;22846;253
20250701 085300;22846;22848.25;22844;22844;126
20250701 085400;22844.25;22846.25;22843;22844.75;63
20250701 085500;22844.5;22845;22840.5;22841.25;78
20250701 085600;22843.25;22846.5;22841.75;22843.75;83
20250701 085700;22844.75;22846;22841;22841;53
20250701 085800;22841;22844.75;22840.25;22843.75;36
20250701 085900;22844.25;22846.5;22844;22846.5;37
20250701 090000;22845.5;22847.75;22845.5;22846.5;57
20250701 090100;22845.25;22849.5;22844.75;22848;65
20250701 090200;22847.25;22847.75;22844.75;22845.75;42
20250701 090300;22846.5;22847.75;22844.5;22844.5;46
20250701 090400;22844;22844.25;22841.5;22843;53
20250701 090500;22843;22846.5;22842.5;22843.75;62
20250701 090600;22844.75;22845;22839.75;22839.75;52
20250701 090700;22839.5;22840.5;22837.75;22838.25;100
20250701 090800;22838.5;22838.5;22830.25;22837;185
20250701 090900;22838;22838.25;22832.5;22833;154
20250701 091000;22832.5;22835;22832.5;22832.5;43
20250701 091100;22832;22833.5;22829;22829.25;106
20250701 091200;22829.25;22830.5;22826.25;22830.25;132
20250701 091300;22830;22830;22826.25;22827;63
20250701 091400;22827.25;22827.25;22821.75;22822.25;121
20250701 091500;22822.5;22823.5;22820.75;22822.75;86
20250701 091600;22823.5;22827.25;22823.5;22826.75;70
20250701 091700;22827;22830.5;22822.25;22823.75;155
20250701 091800;22824;22828.25;22822.5;22828;107
20250701 091900;22827.75;22838.25;22827.75;22838.25;283
20250701 092000;22838.5;22842;22837.5;22841;106
20250701 092100;22841;22841.5;22836.75;22837;70
20250701 092200;22836.5;22837.25;22834.75;22837;41
20250701 092300;22837;22839;22836;22836.75;38
20250701 092400;22836.25;22841.75;22834.25;22841.75;64
20250701 092500;22840.75;22840.75;22836.75;22838;46
20250701 092600;22837.25;22840.25;22837;22837.25;51
20250701 092700;22837.75;22838;22831.5;22832.5;64
20250701 092800;22833;22835.5;22832.5;22833.75;26
20250701 092900;22834.25;22837.75;22832.25;22833.5;86
20250701 093000;22832.25;22834.5;22830;22830.75;145
20250701 093100;22830;22830.5;22827.25;22827.25;81
20250701 093200;22827.5;22828;22821.75;22826;124
20250701 093300;22826.25;22830.5;22826;22829.75;121
20250701 093400;22830.5;22831.25;22826.75;22828.5;53
20250701 093500;22828.75;22830;22827.25;22828.5;28
20250701 093600;22827.75;22830.5;22827.5;22829.75;41
20250701 093700;22830.75;22832.75;22829.5;22829.5;38
20250701 093800;22830.25;22830.25;22828.5;22829.25;27
20250701 093900;22829.25;22829.5;22827.5;22828;42
20250701 094000;22828;22828.5;22826.5;22826.75;50
20250701 094100;22826.25;22828.25;22825.5;22827.75;30
20250701 094200;22828;22829.25;22825.25;22825.25;37
20250701 094300;22825.5;22827;22823;22823.5;64
20250701 094400;22823;22823.5;22821.5;22822.5;83
20250701 094500;22822.75;22824.75;22822.5;22824;33
20250701 094600;22824.5;22826;22823.75;22825.75;47
20250701 094700;22825.75;22827.5;22813.5;22817;684
20250701 094800;22816.25;22818.5;22815;22817.5;178
20250701 094900;22818.25;22822;22817.25;22818;91
20250701 095000;22818.75;22820.75;22818.25;22819.75;132
20250701 095100;22820;22820;22814.25;22814.25;66
20250701 095200;22814;22818.5;22812.75;22816.25;95
20250701 095300;22816.25;22816.25;22812.75;22815.5;85
20250701 095400;22815.5;22818.25;22815.25;22818.25;62
20250701 095500;22817.75;22821;22817.5;22820.75;56
20250701 095600;22820.75;22824.25;22820;22824.25;95
20250701 095700;22824;22828.5;22823.5;22825.5;125
20250701 095800;22825.25;22827.5;22824;22826.25;93
20250701 095900;22826.5;22829.5;22826.25;22828.5;90
20250701 100000;22829.25;22834;22829.25;22830.75;96
20250701 100100;22830.75;22832.5;22830.25;22830.75;39
20250701 100200;22831.5;22834.75;22831.5;22834.75;55
20250701 100300;22834.75;22840;22834;22839.25;85
20250701 100400;22839.5;22839.75;22837;22837.5;54
20250701 100500;22837.5;22837.5;22833.25;22834.25;55
20250701 100600;22834.25;22835.75;22833;22833.75;33
20250701 100700;22833.25;22834.25;22831;22831.25;43
20250701 100800;22831.25;22834.5;22830;22831.25;71
20250701 100900;22831.25;22837;22831;22835.5;58
20250701 101000;22834.25;22839.5;22834.25;22838;80
20250701 101100;22837.75;22838.5;22836;22838.5;22
20250701 101200;22837.25;22837.5;22836;22836.5;15
20250701 101300;22835.5;22835.75;22833;22834.5;40
20250701 101400;22835;22836.75;22833.25;22834;40
20250701 101500;22833.75;22835.5;22833.75;22835;10
20250701 101600;22836;22837;22835.25;22835.25;17
20250701 101700;22835.5;22836;22833;22834.25;22
20250701 101800;22834;22835.5;22831.25;22834.75;39
20250701 101900;22834.5;22834.75;22831.75;22832.75;42
20250701 102000;22832.75;22833.25;22830.5;22830.75;46
20250701 102100;22830.25;22833.75;22830.25;22832.75;20
20250701 102200;22832.5;22834;22831;22832.25;34
